UNQ_ID|PSNGRNUM|GNDR_CD|AGEBIN|DOC_CTRY_CD|DOC_TYP_CD|APIS_ETA_DT|PSNGR_CTZN_CTRY_CD|APIS_IATA_CARR_CD|APIS_FLIT_NBR|FLIT_ORGNL_LV_CTRY_CD|FLIT_ORGNL_LV_ARPRT_CD|FLIT_FINL_ARVL_CTRY_CD|FLIT_FINL_ARVL_ARPRT_CD|LKOUT_CAT1|LKOUT_CAT2|LKOUT_CAT3|LKOUT_CAT4|LKOUT_CAT5|LKOUT_CAT6|LKOUT_IND
452495475|105456510|F|45-50|CA|P|03FEB2017:17:17:00|CA|WS|1283|US|FLL|CA|YOW|0|0|0|0|0|0|0
439278801|103064252|F|30-35|CU|P|20FEB2017:11:00:00|CU|EA|3162|CU|CMW|US|MIA|0|0|0|0|0|0|0
473756436|105825775|F|45-50|AR|P|11FEB2017:02:46:00|AR|AA|931|US|MIA|AR|EZE|0|0|0|0|0|0|0
473108487|103560615|F|30-35|US|P|12FEB2017:06:40:00|US|DL|40|AU|SYD|US|LAX|0|0|0|0|0|0|0
462445648|102646064|M|60-100|US|P|03FEB2017:00:00:00|US|VES|9070058|US|AVA5|AB|7424|0|0|0|0|0|0|0
438737734|104607294|M|60-100|US|P|14FEB2017:00:00:00|US|NK|914|PA|PTY|US|FLL|0|0|0|0|0|0|0
451114890|105666744|M|50-55|US|P|12FEB2017:20:54:00|US|AA|877|AB|AUA|US|CLT|0|0|0|0|0|0|0
433962880|105094217|M|40-45|FR|P|24FEB2017:21:25:00|FR|UA|1554|CR|SJO|US|EWR|0|0|0|0|0|0|0
462338912|105093258|F|55-60|CA|P|12FEB2017:20:15:00|CA|AC|723|US|LGA|CA|YYZ|0|0|0|0|0|0|0
